# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jul 26 02:52:58 2021
#
# User preference: *
#
# CONSTRAINT:  where (sy_diststr < 100)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Proxima Cen b,Proxima Cen,1,3,1,Radial Velocity,2016,European Southern Observatory,Published Confirmed,0,<a refstr=ANGLADA_ESCUD_EACUTE__ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.536..437A/abstract target=ref>Anglada-Escud&eacute; et al. 2016</a>,11.18600000,0.00100000,-0.00200000,0,0.048500,0.004100,-0.005100,0,,,,,,,,,1.27000,0.19000,-0.17000,0,0.00400,0.00060,-0.00053,0,Msini,0.350000,,,1,0.65,,,0,234,6,-14,0,0,<a refstr=ANGLADA_ESCUD_EACUTE__ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.536..437A/abstract target=ref>Anglada-Escud&eacute; et al. 2016</a>,M5.5 V,3050.00,100.00,-100.00,0,0.14,0.02,-0.02,0,0.12,0.01,-0.01,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h29m34.43s,217.3934657,-62d40m34.26s,-62.6761821,1.3011900,0.0003400,-0.0003500,11.0100000,0.1000000,-0.1000000,4.3840000,0.0330000,-0.0330000,8.9536100,0.0009180,-0.0009180,2016-08-25,2016-08,2016-08-25
Proxima Cen b,Proxima Cen,0,3,1,Radial Velocity,2016,European Southern Observatory,Published Confirmed,0,<a refstr=JENKINS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487..268J/abstract target=ref>Jenkins et al. 2019</a>,11.18550000,0.00160000,-0.00140000,0,,,,,,,,,,,,,,,,,,,,,,0.080000,0.070000,-0.060000,0,,,,,,,,,0,<a refstr=JENKINS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487..268J/abstract target=ref>Jenkins et al. 2019</a>,,,,,,0.15,,,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h29m34.43s,217.3934657,-62d40m34.26s,-62.6761821,1.3011900,0.0003400,-0.0003500,11.0100000,0.1000000,-0.1000000,4.3840000,0.0330000,-0.0330000,8.9536100,0.0009180,-0.0009180,2019-06-19,2019-07,2019-06-27
eps Eri b,eps Eri,0,1,1,Radial Velocity,2000,Multiple Observatories,Published Confirmed,0,<a refstr=BENEDICT_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006AJ....132.2206B/abstract target=ref> Benedict et al. 2006 </a>,2502.00000000,10.00000000,-10.00000000,0,3.390000,0.360000,-0.360000,0,,,,,,,,,492.63650,76.27920,-76.27920,0,1.55000,0.24000,-0.24000,0,Mass,0.702000,0.039000,-0.039000,0,,,,,,,,,0,<a refstr=BENEDICT_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006AJ....132.2206B/abstract target=ref> Benedict et al. 2006 </a>,,,,,,,,,,0.83,0.05,-0.05,0,-0.130,0.040,-0.040,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h32m54.82s,53.2284306,-09d27m29.42s,-9.4581715,3.2026000,0.0048300,-0.0048300,3.7154800,0.0230000,-0.0230000,1.7760000,0.2860000,-0.2860000,3.4771900,0.0055451,-0.0055451,2020-09-08,2006-11,2015-09-03
eps Eri b,eps Eri,0,1,1,Radial Velocity,2000,Multiple Observatories,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,2650.00000000,21.00000000,-21.00000000,0,3.500000,0.039000,-0.039000,0,,,,,,,,,206.90629,12.07748,-12.39531,0,0.65100,0.03800,-0.03900,0,Msini,0.044000,0.047000,-0.031000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,,5020.38,57.69,-57.69,0,0.76,0.01,-0.01,0,0.81,0.02,-0.02,0,-0.044,0.058,-0.058,0,[Fe/H],4.59,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h32m54.82s,53.2284306,-09d27m29.42s,-9.4581715,3.2026000,0.0048300,-0.0048300,3.7154800,0.0230000,-0.0230000,1.7760000,0.2860000,-0.2860000,3.4771900,0.0055451,-0.0055451,2021-06-28,2021-05,2021-06-28
eps Eri b,eps Eri,0,1,1,Radial Velocity,2000,Multiple Observatories,Published Confirmed,0,<a refstr=HATZES_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000ApJ...544L.145H/abstract target=ref> Hatzes et al. 2000 </a>,2502.10000000,20.10000000,-20.10000000,0,3.400000,,,0,,,,,,,,,540.31100,,,0,1.70000,,,0,Mass,0.608000,0.041000,-0.041000,0,,,,,,,,,0,<a refstr=HATZES_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000ApJ...544L.145H/abstract target=ref> Hatzes et al. 2000 </a>,,,,,,,,,,0.85,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h32m54.82s,53.2284306,-09d27m29.42s,-9.4581715,3.2026000,0.0048300,-0.0048300,3.7154800,0.0230000,-0.0230000,1.7760000,0.2860000,-0.2860000,3.4771900,0.0055451,-0.0055451,2020-09-08,2000-12,2015-09-03
eps Eri b,eps Eri,1,1,1,Radial Velocity,2000,Multiple Observatories,Published Confirmed,0,<a refstr=MAWET_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...33M/abstract target=ref>Mawet et al. 2019</a>,2690.00000000,30.00000000,-30.00000000,0,,,,,,,,,,,,,247.90740,120.77540,-38.13960,0,0.78000,0.38000,-0.12000,0,Mass,0.070000,0.060000,-0.050000,0,,,,,,,,,0,<a refstr=MAWET_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...33M/abstract target=ref>Mawet et al. 2019</a>,,,,,,,,,,0.78,0.01,-0.01,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h32m54.82s,53.2284306,-09d27m29.42s,-9.4581715,3.2026000,0.0048300,-0.0048300,3.7154800,0.0230000,-0.0230000,1.7760000,0.2860000,-0.2860000,3.4771900,0.0055451,-0.0055451,2020-09-08,2019-01,2020-09-03
GJ 887 b,GJ 887,1,1,2,Radial Velocity,2020,La Silla Observatory,Published Confirmed,0,<a refstr=JEFFERS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200616372J/abstract target=ref>Jeffers et al. 2020</a>,9.26200000,0.00100000,-0.00100000,0,0.068000,0.002000,-0.002000,0,,,,,,,,,4.20000,0.60000,-0.60000,0,0.01321,0.00189,-0.00189,0,Msini,0.000000,,,0,7.95,0.20,-0.20,0,468,,,0,0,<a refstr=JEFFERS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200616372J/abstract target=ref>Jeffers et al. 2020</a>,M1 V,3688.00,86.00,-86.00,0,0.47,0.09,-0.09,0,0.49,0.05,-0.05,0,-0.060,0.080,-0.080,0,[Fe/H],4.78,,,0,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,23h05m52.04s,346.4668274,-35d51m11.0s,-35.8530693,3.2900000,0.0100000,-0.0100000,,,,,,,,,,2020-07-02,2020-06,2020-07-09
GJ 887 c,GJ 887,1,1,2,Radial Velocity,2020,La Silla Observatory,Published Confirmed,0,<a refstr=JEFFERS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200616372J/abstract target=ref>Jeffers et al. 2020</a>,21.78900000,0.00400000,-0.00500000,0,0.120000,0.004000,-0.004000,0,,,,,,,,,7.60000,1.20000,-1.20000,0,0.02391,0.00378,-0.00378,0,Msini,,,,,2.56,0.20,-0.20,0,352,,,0,0,<a refstr=JEFFERS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200616372J/abstract target=ref>Jeffers et al. 2020</a>,M1 V,3688.00,86.00,-86.00,0,0.47,0.09,-0.09,0,0.49,0.05,-0.05,0,-0.060,0.080,-0.080,0,[Fe/H],4.78,,,0,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,23h05m52.04s,346.4668274,-35d51m11.0s,-35.8530693,3.2900000,0.0100000,-0.0100000,,,,,,,,,,2020-07-02,2020-06,2020-07-09
Ross 128 b,Ross 128,1,1,1,Radial Velocity,2017,La Silla Observatory,Published Confirmed,0,<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..25B/abstract target=ref>Bonfils et al. 2018</a>,9.86580000,0.00700000,-0.00700000,0,0.049600,0.001700,-0.001700,0,,,,,,,,,1.40000,0.21000,-0.21000,0,0.00440,0.00066,-0.00066,0,Msini,0.116000,0.097000,-0.097000,0,1.38,,,0,301,,,0,0,<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..25B/abstract target=ref>Bonfils et al. 2018</a>,M4,3192.00,60.00,-60.00,0,0.20,0.01,-0.01,0,0.17,0.02,-0.02,0,-0.020,0.080,-0.080,0,[M/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h47m45.02s,176.9376036,+00d47m57.44s,0.7992898,3.3745400,0.0008050,-0.0008050,11.1200000,0.1000000,-0.1000000,5.6540000,0.0240000,-0.0240000,9.5906700,0.0011200,-0.0011200,2017-11-16,2018-05,2017-11-17
GJ 15 A b,GJ 15 A,0,2,2,Radial Velocity,2014,W. M. Keck Observatory,Published Confirmed,1,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,11.44320000,0.00120000,-0.00120000,0,0.073200,0.000470,-0.000480,0,,,,,,,,,5.43487,0.41318,-0.41318,0,0.01710,0.00130,-0.00130,0,Msini,0.075000,0.072000,-0.052000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,,3742.67,30.19,-30.19,0,0.38,0.01,-0.01,0,0.40,0.01,-0.01,0,-0.391,0.087,-0.087,0,[Fe/H],4.89,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h18m27.04s,4.6126677,+44d01m29.03s,44.0247296,3.5622800,0.0005500,-0.0005500,8.0900000,0.1000000,-0.1000000,4.0180000,0.0200000,-0.0200000,7.2162000,0.0005070,-0.0005070,2021-06-28,2021-05,2021-06-28
